Coefficient,MAE,ExpVar
0.0,7.213858007800508,0.5452369302341488
6.661338147750939e-16,7.213858007800508,0.5452369302341488
4.440892098500626e-16,7.213858007800508,0.5452369302341488
1.0103828233578167,7.213858007800508,0.5452369302341488
1.8529075164408433,7.213858007800508,0.5452369302341488
0.41094189576960205,7.213858007800508,0.5452369302341488
0.6452498614752166,7.213858007800508,0.5452369302341488
1.2573468709467954,7.213858007800508,0.5452369302341488
0.5666666070073917,7.213858007800508,0.5452369302341488
0.7507877262019713,7.213858007800508,0.5452369302341488
2.307122749030795,7.213858007800508,0.5452369302341488
1.7018316125206168,7.213858007800508,0.5452369302341488
1.934718620530948,7.213858007800508,0.5452369302341488
1.113825682099125,7.213858007800508,0.5452369302341488
1.5417363322189908,7.213858007800508,0.5452369302341488
0.20542698818678695,7.213858007800508,0.5452369302341488
1.4563939582841048,7.213858007800508,0.5452369302341488
10.441492688411193,7.213858007800508,0.5452369302341488
1.4056875086245895,7.213858007800508,0.5452369302341488
0.47311048111439,7.213858007800508,0.5452369302341488
3.3748174997057445,7.213858007800508,0.5452369302341488
